date,WaterLevel,Discharge,WaterTemperature,EC,Humidity,WindDir,AirTemp,WindSpeed
27/5/2021 15:00,30.967,7449.19,13.5,117.9,58,240,16.8,16.6
27/5/2021 15:30,30.963,7078.38,13.5,117.9,61,250,16.7,14.8
27/5/2021 16:00,30.967,6771.87,13.5,118.2,54,240,17.7,16.6
27/5/2021 16:30,30.963,7213.81,13.4,118.2,54,240,16.9,13
27/5/2021 17:00,30.963,7213.22,13.4,118.5,51,230,17,13
27/5/2021 17:30,30.964,7215.1,13.4,118.5,55,240,16.2,9.4
27/5/2021 18:00,30.962,7255.98,13.4,118.5,60,250,15.2,7.6
27/5/2021 18:30,30.96,7296.95,13.3,118.1,62,240,14.7,9.4
27/5/2021 19:00,30.961,7390.03,13.3,117.8,62,240,14.5,9.4
27/5/2021 19:30,30.956,7422.32,13.2,117.9,69,250,13.2,9.4
27/5/2021 20:00,30.957,7379.46,13.2,117.9,69,240,13.1,11.2
27/5/2021 20:30,30.957,7379.47,13.3,117.9,70,230,12.6,9.4
27/5/2021 21:00,30.959,6932.26,13.3,117.9,73,230,11.9,11.2
27/5/2021 21:30,30.961,7388.36,13.2,117.9,74,210,11.7,11.2
27/5/2021 22:00,30.96,7115.06,13.2,117.5,75,210,11.7,9.4
27/5/2021 22:30,30.96,7205.42,13.2,117.9,79,220,10.8,11.2
27/5/2021 23:00,30.961,7252.91,13.2,117.9,82,220,10.5,11.2
27/5/2021 23:30,30.96,7431.88,13.2,117.9,85,220,10,11.2
28/5/2021 0:00,30.961,7163.06,13.2,117.6,89,230,9.5,9.4
28/5/2021 0:30,30.961,7027.48,13.1,117.6,91,230,9.5,9.4
28/5/2021 1:00,30.958,7382.39,13.1,117.6,93,230,9.2,11.2
28/5/2021 1:30,30.959,7023.28,13.1,117.6,95,230,8.8,11.2
28/5/2021 2:00,30.959,7427.92,13.1,118,96,220,8.2,9.4
28/5/2021 2:30,30.957,7062.68,13.1,117.6,98,220,8.5,9.4
28/5/2021 3:00,30.957,6837.04,13.1,117.6,99,210,8.7,9.4
28/5/2021 3:30,30.957,7423.77,13.1,117.6,99,210,8.8,9.4
28/5/2021 4:00,30.955,7284.26,13,117.6,99,200,8.5,11.2
28/5/2021 4:30,30.954,6964.56,13,117.3,99,210,8.4,11.2
28/5/2021 5:00,30.955,7192.52,13,117.7,99,200,8,11.2
28/5/2021 5:30,30.956,7465.23,13,117.3,99,200,7.8,9.4
28/5/2021 6:00,30.956,7059.32,13,117.4,99,210,7.5,9.4
28/5/2021 6:30,30.955,7102.42,13,117.4,100,210,7.6,9.4
28/5/2021 7:00,30.955,6922.03,13,117.4,100,200,7.3,9.4
28/5/2021 7:30,30.954,7145.49,13,117.4,100,190,7.2,9.4
28/5/2021 8:00,30.954,7235.67,13,117.7,100,200,7.2,11.2
28/5/2021 8:30,30.957,6882.9,13,117.4,100,210,7.1,9.4
28/5/2021 9:00,30.956,7284.93,13,117.4,100,200,7.5,11.2
28/5/2021 9:30,30.959,7293.46,13.1,117,100,190,8.2,9.4
28/5/2021 10:00,30.961,7164.42,13.2,117,100,180,9.2,13
28/5/2021 10:30,30.961,7297.84,13.5,117.7,100,160,10.6,14.8
28/5/2021 11:00,30.953,6557.35,13.6,117,84,170,11.3,16.6
